ARQUIVO,PARTIDO,FUSAO_MENCIONA,FUSAO_INSTANCIA,FUSAO_QUORUM,FUSAO_MAJ,FUSAO_VOTO,FUSAO_CRIA,FUSAO_REJEITA,INCORPORACAO_MENCIONA,INCORPORACAO_INSTANCIA,INCORPORACAO_QUORUM,INCORPORACAO_MAJ,INCORPORACAO_VOTO,INCORPORACAO_CRIA,INCORPORACAO_REJEITA,DISSOLUCAO_MENCIONA,DISSOLUCAO_INSTANCIA,DISSOLUCAO_QUORUM,DISSOLUCAO_MAJ,DISSOLUCAO_VOTO,DISSOLUCAO_CRIA,DISSOLUCAO_REJEITA,ESTATUTO_MENCIONA,ESTATUTO_INSTANCIA,ESTATUTO_QUORUM,ESTATUTO_MAJ,ESTATUTO_VOTO,ESTATUTO_CRIA,ESTATUTO_REJEITA,FEDERACAO_MENCIONA,FEDERACAO_INSTANCIA,FEDERACAO_MAJ,FEDERACAO_VOTO,FEDERACAO_CRIA,FEDERACAO_REJEITA,ID
LOPP,LOPP,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,0
tse-estatuto-do-partido-ptc-de-2-6-1997-resolucao.1998,AGIR,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL ESPECIAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,1
tse-estatuto-do-partido-ptc-de-11-11-2000.2001,AGIR,0,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,"NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO, NÃO MENCIONA FUSÃO",NÃO MENCIONA FUSÃO,NÃO MENCIONA FUSÃO,0,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,"NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO, NÃO MENCIONA INCORPORAÇÃO",NÃO MENCIONA INCORPORAÇÃO,NÃO MENCIONA INCORPORAÇÃO,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL ESPECIAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, SEM CUMULAÇÃO, POR PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,2
tse-estatuto-do-partido-ptc-de-4-5-2003-resolucao.2003,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,"NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO, NÃO MENCIONA DISSOLUÇÃO",NÃO MENCIONA DISSOLUÇÃO,NÃO MENCIONA DISSOLUÇÃO,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,3
tse-estatuto-do-partido-ptc-de-24-3-2007-resolucao.2007,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,4
tse-estatuto-do-partido-ptc-de-29-4-2008-resolucao.2008,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU ACLAMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,5
estatuto-do-partido-ptc-de-26-11-2009-resolucao.2010,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,6
tse-estatuto-do-partido-ptc-de-27-7-2012-aprovado-em-4-10-2012,AGIR,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM QUORUM,MAIORIA ABSOLUTA,"SECRETO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,7
tse-estatuto-do-partido-ptc-de-25-7-2015-aprovado-tse-em-5-5-2016-formato-pdf,AGIR,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,NA,NA,NA,NA,NA,NA,1,CONVENÇÃO NACIONAL,SEM INFORMAÇÃO,SEM INFORMAÇÃO,"SEM INFORMAÇÃO, CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,8
tse-estatuto-do-partido-ptc-de-20-2-2017-aprovado-tse-em-16-5-2017-formato-pdf,AGIR,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 SIMPLES,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 SIMPLES,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 ABSOLUTO,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,1,CONVENÇÃO NACIONAL,SEM QUORUM,2/3 SIMPLES,"SECRETO OU DECLARAÇÃO, NÃO CUMULATIVO, SEM PROCURAÇÃO",CONVENÇÃO NACIONAL,CONVENÇÃO NACIONAL,0,NA,NA,NA,NA,NA,9
