Regra de Maioria,Partido
Maioria Simples,"PATRI, PSTU, SD"
Quórum 30% + Maioria Simples,PP
Maioria Absoluta,"LOPP, CID, DC, DEM, MDB, PCB, PCdoB, PL, PMN, PODE, PRTB, PSB, PSD, PSDB, PSL, PT, PTB, PV, REP, UP"
2/3 Simples,PTC
2/3 Absoluto,"AVANTE, PMB, PSC"
Maioria Absoluta para criação Convenção. 2/3 Absoluto para Aprovação,PROS
2/3 Absoluto + Maioria Simples de Referendo,REDE
3/4 Absoluto,NOVO
3/5 Absoluto,PDT
"Quórum 1/3, Regra Escolhida em Convenção Anterior",PSOL
Não Possui Dispositivo Alteração Estatuto,PCO
