Regra de Maioria,Partido
Maioria Simples,PSTU
Quórum 30% + Maioria Simples,PP
Maioria Absoluta,"LOPP, MDB, PATRI, PSD, PSDB, PTB, REP"
Maioria Absoluta Em 2 Votações,PODE
Quórum Maioria Absoluta + 60% Aprovação,PV
Maioria Absoluta + 1/5 Assinaturas Fundadores,PRTB
2/3 Simples,PTC
2/3 Absoluto,"AVANTE, CID, DC, PCB, PMB, PROS, PSB, PSC, SD, UP"
2/3 Absoluto + Maioria Simples de Referendo,REDE
3/4 Absoluto,PL
3/5 Absoluto,"PDT, UNIAO"
4/5 Simples,NOVO
Quórum 1/3 + Regra Escolhida em Convenção Anterior,PSOL
Não Possui Dispositivo Fusão/Incorporação,"PCdoB, PCO, PMN, PT"
